VI. ЧИСЛИТЕЛЬНОЕ	ТООГОЙ НЭРЭ.
Один	нэгэн
два	хоёр
три	гурбан
четыре	дүрбэн
пять	табан
шесть	зургаан
семь	долоон
восемь	найман
девять	юһэн
десять	арбан
одиннадцать	арбан нэгэн
двенадцать	арбан хоёр
тринадцать	арбан гурбан
четырнадцать	арбан дүрбэн
пятнадцать	арбан табан
шестнадцать	арбан зургаан
семнадцать	арбан долоон
восемнадцать	арбан найман
девятнадцать	арбан юһэн
двадцать	хорин
тридцать	гушан
сорок	дүшэн
пятьдесят	табин
шестьдесят	жаран
семьдесят	далан
восемьдесят	наян
девяносто	ерэн
сто	зуун
двести	хоёр зуун
триста	гурбан зуун
четыреста	дүрбэн зуун
пятьсот	табан зуун
шестьсот	зургаан зуун
семьсот	долоон зуун
восемьсот	найман зуун
девятьсот	юһэн зуун
тысяча	мянган
миллион	миллион	сая
миллиард	миллиард
первый	нэгэдэхи
второй	хоёрдохи
третий	гурбадахи
четвертый	дүрбэдэхи 
пятый	табадахи
шестой	зургаадахи
седьмой	долоодохи
восьмой	наймадахи
девятый	юһэдэхи
десятый	арбадахи
одиннадцатый	арбан нэгэдэхи
двадцатый	хоридохи
тридцатый	гушадахи
сороковой	дүшэдэхи
пятидесятый	табидахи
шестидесятый	жарадахи
семидесятый	даладахи
восьмидесятый	наядахи
девяностый	ерэдэхи
сотый	зуудахи
тысячный	мянгадахи
двое	хоёр
трое	гурбан
четверо	дүрбэн
пятеро	табан
шестеро	зургаан
семеро	долоон	долоон хүн
восьмеро	найман
девятеро	юһэн	юһэн хүн
десятеро	арбан
половина	хахад
четверть	дүрбэнэй нэгэ
восьмая (часть)	найманай нэгэ
десятая (часть)	арбанай нэгэ
сотая (часть)	зуунай нэгэ
тысячная (часть)	мянганай нэгэ
полтора	нэгэ хахад
две с половиной	хоёр хахад
единица	ганса	нэгэн	единицэ
двойка	хоёр
тройка	гурбан
четвёрка	дүрбэн
пятёрка	табан
раз	нэгэн
пара	паар	хоёр
десяток	арбан
дюжина	дюжинэ 
полсотни	полста	хахад зуун	зуунай хахад	табин
сотня	зуун
полтысячи	хахад мянган	мянганай хахад	табан зуун.

