VIII. СОЮЗЫ
И
а
но
да
или
либо
ни
то	то
что
как
будто -мэтэ	шэнги	шэнгеэр	хэбэртэйгээр
чтобы (чтоб)
когда
пока
зато
чем
потому
потому что
оттого что
также
так как
то есть (т. е.)
если
раз
хотя (хоть)

