II. ГЛАГОЛ.
Агитирует
арестует
барабанит
барахтается
бегает
безобразничает
белеет
белит
бережёт
беседует
беспокоит
беспокоиться
бинтует
бьёт
бьётся
благодарит
блестит
блеет
близиться
бодает
бодается
болеет
болит
болтает
болтается
боронит
борется
боится
бранит -хараана	ганирна
бранится
брезгует
бродит
бросает -хаяна
бросается
брызгает
будет
будит
буксует
булькает
буянит
бывает
важничает
валит
валится
валяет
валяется
варит
варится
вбегает
ввозит
вводит
вдевает -һабагшална	дүрөөлнэ
вдыхает
ведёт
везёт
велит
верит
вернул
вернулся
вертит
вертится
веселится
весит
вешает
взбирается
взглянул
вздыхает
вздремнул
вздрогнул
взлетел
взмахнул
взрывает -тэһэлнэ
взрывается
взял
взялся
видит
видится
висит
вкалывал
вкатил
вкатился
вклеил
включает
вносит
водит
водится
воет
возвращает
возвращается
возит
возится
волнуется -һанаагаа зобоно	долгилно
ворует
ворчит
воюет
воспитывает
восходит
вписывает
впитывает
впитывается
врёт
вращает
вращается
вскарабкался
вскрикнул
вспомнил -һанаа
вспыхнул
вставляет
встречает
встречается -уулзана	золголдоно
втащил
входит
въезжает
выбегает
выбирает
выбрасывает
выводит
выворачивает
выглядывает
выгоняет
выделяет
выдёргивает
выезжает
вызывает
выздоравливает -һайн болоно	эдэгэнэ
выиграл -шүүгээ	илажа гараа
выкатил
выключил
вылезает
вылечил
вылечился
выметает
вынимает
выносит
выпиливает -хюрөөдэнэ
выписывает
выплывает
выползает
выпрыгнул
выпрямляет
выпрямляется
выпускает
выращивает
вырвал
вырвался
вырезает
выронил
выручает
вырывает
выскакивает
высморкался
высовывается
выспался
выстрелил
выступает
высовывает
высыпается
вытаскивает
вытесал
вытирает
вытирается
вытолкал
выточил
вытряхивает
выучил
выходит
вычистил
вышивает
вяжет -нэхэжэ оёно	уяна	бооно
вянет
гасит
гладит
глядит
гнездится
гнётся
гниёт
гноится
говорит
гогочет (гусь)
годится
голодает
голосует
гоняет	гоняется
гордится
горюет
горит
готовит
готовится
грабит
гремит
гребёт
греет
греется
грозит	грозится
грохочет
грубит
грузит
грустит
грызёт
грянул
гудит
гуляет
давит
даёт
дарит
двигает
двигается
девает
девается
дежурит
действует
декламирует -уранаар уншана
делает
делается
делит
делится
дерётся
держит
держится
диктует
добежал
добивается
добрался	дошёл
добывает
добывается
довёз
довёл
догадывается
договаривается
догоняет
догорает
доделал
доедает
доезжает
дожидается
доит
доходит
доказывает
доканчивает
долбит
должен
должен
донёс
доработал
достаёт
достаётся
дотронулся
дотянулся
дразнит
дремлет
дрогнул
дрожит
дружит
дрыгает
думает
дует
душит
дымит	дымится
дышит
дышится
ездит
ест
есть
ёрзает
жалеет
жалит
жалуется
жарит
жарится
жжёт
ждёт
желает
женится
жиреет
жмёт -хабшана
жнёт
жуёт
журчит
забавляется
забастовал
забегает
забинтовал
забивает
забивается
заблудился
забодал
заботится
забрал
забрался
забрызгал
забывает
заваривает
завёртывает
заводит
завидует
завинчивает
завоевал -дайлан абаа	илалта туйлаа
завтракает -үглөөнэй хоол эдинэ
завязывает
заглядывает
загадывает
загноился
загибает
загибается
заговорил
загоняет
загорает	загорается
загорает
загораживает
заготовляет
загребает
загремел
загрустил
загрязнил
загрязнился
загубил
загулял
загустел
задавил
задаёт
задевает
задерживает
задерживается
задремал
задумал
задумался
задымил
заехал
зажил
зазеленел
зазимовал
заиграл
заикается
заинтересовался
заказывает
закаляет
закаляется
заканчивает
заканчивается
закапывает
закатил
закатился
закачался
закашлял
закипает
заживает
закисает
заклеивает
законопатил
заканчивает -дүүргэнэ	дууһажа байна
заканчивается
закричал
закрепляет
закрывает
закрывается
закупил
закуривает
закусывает
закутывает
закутывается
залаял
залезает -абиржа гараа
залепил
залетел
замазывает
замарал
замарался
замахивается
заменяет
замер
замерзает
замечает
замыкает -суургална	һүүл хаана
замучил
