авиамодельный
автономный
азартный
аккуратный
активный
антирелигиозный
антифашистский
ароматный
балетный
баснословный
бдительный
беглый
бедный
безалаберный
безболезненный
безбрежный
безграмотный
безграничный
бездушный
безжалостный
беззаботный
беззаветный
беззащитный
беззубый
безлюдный
безнадёжный
безнадзорный
безоблачный
безобразный
безопасный
безошибочный
безработный
безразличный
безумный
безупречный
безуспешный
безымянный
беловой
белокурый
белолицый
белоснежный
бензиновый
береговой
бережливый
бережный
берёзовый
берестяной
бесконечный
бескрайний -захагүй	хизааргүй
беспартийный
бесплановый
бесплатный
беспокойный
бесполезный
беспомощный
бесправный
беспрерывный
беспризорный
беспримерный
беспутный
бессмысленный
бессовестный
бесспорный
бесстыдный
бестолковый
бесхозяйственный
бесцельный
бесшабашный
бесшумный
бешеный
библиотечный
биологический
благодарный -аша үрэтэй	аша харюулмаар
благонадежный
благополучный
благоприятный
благоразумный
благородный
бледный
блестящий
ближний
близкий
близорукий
бобровый
богатый
бодливый
бодрый
боевой
боеспособный
бойкий
болотистый
болтливый
больной
большой
большевистский
босой
боязливый
бравый
братский
бревенчатый
брезгливый
бригадный
бродячий
бронебойный
бронетанковый
бронзовый
брусничный
будущий
буйный
буквенный
бумажный
буржуазный
бурный
бурый
бывалый
бывший
быстроходный
быстрый
важный
варёный
ватный
вдохновенный
ведущий
вежливый
великий
великовозрастный
великолепный
величественный
велосипедный
верблюжий
верёвочный
верный -зүб	үнэн сэхэ	үнэн шударгуу
вероломный
вероятный
вертикальный
верхний
верховный
весёлый
веский -няд гэмэ	хахалан хэлэһэн
весенний
веснушчатый
ветвистый
ветеринарный
ветреный
ветряной
ветхий
вечерний
вечнозелёный
вечный
взаимный
взрослый
видный
винительный падеж
виноватый	виновный
висячий
вишнёвый
вкусный
влажный
влиятельный
вместительный
внезапный
внеклассный
внеочередной
внешкольный
внешний
внимательный
внутренний
внушительный
водный
водонапорный
водонепроницаемый
водоплавающий
водянистый
водяной
военно-воздушный
военнообязанный
военнопленный
военно-морской
военнослужащий
военный
воздержанный
воздушный
возможный
возмутительный
воинственный
вокальный
волевой
волнистый
волосатый
волосяной
волчий
вонючий
вопросительный
ворчливый
восклицательный
воспитанный
восприимчивый
воспитательный
восьмидесятилетний
впалый
впечатлительный
враждебный
врачебный
вредный
временный
всевозможный
всемирный
всенародный
всеобщий
всероссийский
всесоюзный
всесторонний
вспомогательный
вспыльчивый
вставной
встречный
вступительный
всхожий (семена) -ургаха (шадалтай)
вторичный
второстепенный
вчерашний
выборный
выгодный
выигрышный
выносливый
выпуклый
выпускной
выразительное чтение
высокий
высокогорный
высокомерный
высокопроизводительный
высотный
высочайший
высший
выходной
вышивальный
вьючный
вязаный
вязкий
вяленый
вялый
гадкий
гаечный
газообразный
гармонический
гастрономический
гениальный
геометрический
героический -героическа	баатарлиг
геройский -геройско	габьяата	баатарлиг
гибкий -уян	нугархай
гиблый
гигантский -абарга томо	асари ехэ
главный
гладкий
гласный
глинистый
глубокий -гүнзэгы	гүн
глупый
глухой
гневный
гнилой
гнусный
говорливый -хөөрүү	шолшогоноһон
говяжий
годный
годовалый
головной
головокружительный
голодный -үлэн	үлэнхэ	хооһон
голосистый
голубоглазый
голубой
горбатый
гордый
горелый
горизонтальный
гористый
горнолыжный
горный
гороховый
горький
горячий
гостеприимный
государственный
готовый
гражданский
грамотный
грандиозный
гречневый
грешный
грозный
громадный
громкий
громоздкий
грубый
грудной
гружёный
грузинский
грузный
грустный
грязный -муухай	хирэтэй	затагар
губительный
гуманный
гусеничный
густой
давешний
давний -үнинэй	урда урдын
давнишний
далёкий
дальнобойный
дальновидный
дальнозоркий
данный
дарёный
даровитый
даровой
дательный (падеж) -зүгэй (падеж)
дачный
дедовский
дежурный
декабрьский
декоративный
деликатный
деловитый
деловой
дельный
демократический
денежный
деревенский
деревянный
дерзкий
десятичный
детальный
деревянный
детский
дефицитный
дешёвый
деятельный
дивный
дидактический
дикий
директорский
длинный
длительный
дневной
доблестный
добровольный
добродушный
доброжелательный
доброкачественный
добросовестный
добротный
добрый
добычливый
довоенный
довольный
догадливый
дождливый
дойная
документальный
дальний
долгий
долговечный
долговременный -үни удаан	удаан сагай
долгожданный
долголетний -олон жэлэй	ута наһатай
долгосрочный
домашний
дооктябрьский
дополнительный
допотопный
дореволюционный
дорогой
дорожный
досадный
досоветский
досрочный
достоверный
достойный -табимаар	хүрэмөөр
достопримечательный
доступный
дохлый
доходный
дошкольный
драгоценный
драчливый
древесный
древний
дремучий
дробный
дровяной
другой
дружеский
дружественный
дружный
дряной
дряхлый
дурашливый
дурной
душевный
душный
дырявый
единственный
единый
еловый
ёлочный
ёмкий
естественный
ехидный
жадный
жалкий
жалобный
жалостливый
жареный
жаркий
желанный
желающий
железнодорожный
железный
женственный
женатый
женский
жёсткий
жестокий
жжёный
живой
живительный
живописный
живучий
жидкий
жизнедеятельный -юумэ бүтээсэтэй
жизнерадостный
жилой
жирный
житейский
забавный
забитый
заботливый
забывчивый -мартамхай
заветный
завистливый
завидный
завлекательный
заводной
завтрашний
загадочный
загорелый
задний
задумчивый
задиристый
задорный
зажиточный
заказной
законный
заковыристый
законченный
закрытый
заливной (луг)
замкнутый
заметный
замечательный
замысловатый
замужняя
занятой
занятый
запасливый
записная книжка
заповедный -хорюултай	заповеднигэй
запоздалый
заполярный
запретный
заработанные
заработная плата
заразительный
заразный
заречный
заржавленный
зарубежный
заслуженный
застенчивый
застольный
засухоустойчивый -ганда тэсэмгэй
затейливый
засушливый
заунывный
затхлый
захватнический
захудалый
заядлый
званый
зверский
звериный
звонкий
звучный
здешний
здоровенный
здоровый
здравый
зенитный
зерноочистительный
зловещий
зловредный
злокачественный
злой
злопамятный
злополучный
злостный
злорадный
змеиный
знакомый
знаменитый
знатный
значительный
знойный
золотой
золотистый
золотоносный
зональный
зоркий
зрелый -болоһон	эдеэшэһэн	хүсэһэн
зрительный
зрячий
зубастый
зубчатый
игривый -аляа	тоомгүй	аягтай
идеальный
идейный
избитый
известный
извилистый
излишний
