X. МЕЖДОМЕТИЯ	МЕЖДОМЕТИНҮҮД.
Ай	үүй	ой
ай-ай-ай	ай-я-яа
ай даа	эй даа	ухайш даа
айда	яба	ябая
ах	ай	ах
ишь -һэ
ну	зай	заа
ой	үй	һүй
ой-ой-ой	ёо-ёо-ёо
ох	аа-ёо
тпру	тпруу	дрр
тьфу	тай	татай
ура	ураа	барээ
ух	үй
фу	пэй	фүү
чу	бай
шш	шш
эй	эй	һэй	һөй
эх	ээх	ахха даа
эхма	ах даа

Ку-ку	күүк-кү	гүүг-гү
кря-кря	хяр-хюр
га-га	ган-гун
курлы-курлы	грюуг-грюуг
чив-чив	пииг-пииг
ку-ка-ре-ку	ку-ка-ре-ку
хрю-хрю	хур-хар	хуг-хаг
ам-ам	һав-һав	ам-ам
му-у-у	мөө-өө
динь-динь	дин-дин
бах	бабах	бух	бац -пас-тас	пүүх	паас
бум	бүүм-бүүм	түүн-түүн
трах	тас-няс	няс-тас	түс
тр-р-р	тр-р-р-трр
та-та-та	та-та-та
шшш	шш (бай-бай	шэмээгүй)



