X. МЕЖДОМЕТИЯ
Ай
ай-ай-ай
ай даа
айда
ах
ишь -һэ
ну
ой
ой-ой-ой
ох
тпру
тьфу
ура
ух
фу
чу
шш
эй
эх
эхма

Ку-ку
кря-кря
га-га
курлы-курлы
чив-чив
ку-ка-ре-ку
хрю-хрю
ам-ам
му-у-у
динь-динь
бах	бабах	бух	бац -пас-тас	пүүх	паас
бум
трах
тр-р-р
та-та-та
шшш



