V. МЕСТОИМЕНИЕ	ТҮЛӨӨНЭЙ НЭРЭ.
его	её (ж. р.)	тэрэнэй	тэрээнэй (х.п.)	тэрэниие	тэрээниие (ү.п.)
их	тэдэнэй	тэдээнэй (х. п.)	тэдэниие	тэдээниие (ү. п.)
этот	энэ	тус	энэ юумэ	энэ хүн
тот	та (ж. р.)	то (ср.р.)	тэрэ
такой	тиимэ	иимэ
кто?	хэн?
кто-нибудь	хэн нэгэн
что?	юун?
что-нибудь	нэгэ юумэ	юуншье (һаань)
какой	ямар?
какой-нибудь	ямар нэгэ	ямаршье	ямаршье һаань
какой-то	нэгэ	ямар нэгэ
который	хэды	хэдыдэхи	алин
чей?	хэнэй?
чей-нибудь	чей-либо	хэнэйшьеб
никто	хэншье
ничто	юуншье	нэгэшье юумэн
некого	хэншье үгы	хүн үгы
нечего	юуншьегүй	юумэн үгы	аргагүй	хэрэггүй
никакой	ямаршье
ничей	хэнэйшье бэшэ
некоторый -зарим нэгэ	нэгэ хэды
несколько	хэдэн	хэдэхэн	нэгэ хэды
сам	өөрөө
самый	эгээн	тон
весь -бүхэли	бүхэ	бүхы	баран
всякий	бүри	ямаршье	алибаа
каждый	бүри	бүхэн.

